food,,,,,,calories,protein,fat,carbs,vata,pitta,kapha,madhra,amla,lavana,katu,titka,kashaya,usna,sitta,madhura,amla.1,katu.1,guru,laghu,snigdha,ruksha,time,vscore,pscore,kscore,label,Diabetes,hypertension
 moong sprouts wrap,,,,,,102.7,21.1,1.9,133.5,1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,3,2,-3,kapha,-1,-1
 mung dal,,,,,,771,10.1,28.5,117,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,-1,-1
 sweet potato with kale and ginger,,,,,,34.1,29.4,2.5,117,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,-2,kapha,-1,-1
 roasted rice with dates,,,,,,606.5,39.95,27,111.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2,2,pitta,-1,-1
 kale and carrot soup with ginger,,,,,,152.6,11.3,1.7,102.9,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,kapha,-1,-1
 butter squash soup with fennel,,,,,,496,2.2,29.5,100.4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,3,-1,-1,kapha,-1,-1
 potato latkes,,,,,,149.5,17.6,7.7,98.4,1,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,-2,0,pitta,-1,-1
 asparagus saffron risotto with lemon,,,,,,563,26.6,37.9,96.6,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,-1,-1
 quinoa with mint,,,,,,254.4,23.1,19.5,95.5,1,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,kapha,-1,-1
 potato leek soup with fennel seeds and red pepper flakes,,,,,,43.1,12.6,2.3,94,1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,3,2,-3,kapha,-1,-1
 peppermint cocoa shake,,,,,,568.2,12.5,25.5,85.6,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,kapha,-1,-1
 asparagus,,,,,,689.8,14.55,34,84.05,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,2,-2,kapha,-1,-1
 coconut and cilantro savory pancake,,,,,,115.2,17,11.3,83.1,1,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,kapha,-1,-1
 potatoes in roasted sesame and coconut with lime,,,,,,162.3,12.3,1.4,81.95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,-1,-1
 chickpea with coconut pesto,,,,,,84.2,15.5,9.2,81.6,1,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,-2,0,pitta,-1,-1
