 0: idiyappam
 1: poori
 2: poori_masala
 3: vada
 4: sambarsadam
 5: parupusadam
 6: akkiroti
 7: appam
 8: chapati
 9: coconutChutney
 10: dosa
 11: idly
 12: Parota
 13: pongal
 14: puttu
 15: ravadosa
 16: semiyaUpma
 17: Upma
 18: wheatdosa
 19: whiteRice
 20: pesarattu
 21: coconutRice
 22: Sambar
 23: carrotPoriyal
 24: Rasam
 25: PaneerButterMasala
 26: TomatoRice
 27: FishBiriyani
 28: MuttonBiriyani
 29: ChickenBiriyani
 30: Puliyogare
 31: PudinaChutney
 32: MoongDalPayasam
 33: AlooMasala
 34: TomatoCurry
 35: CoconutMilkPulao
 36: BeetrootThoran
 37: TomatoPickle
 38: AvalUpma
 39: AmlaPickle
 40: BeetrootCurry
 41: EggplantCurry
 42: BrinjalCurry
 43: BottleGaurdCurry
 44: CarrotCurry
 45: BeansCarrotCurry
 46: CabbageCurry
 47: CoconutBurfi
 48: CauliFlowerPakoda
 49: CapsicumChutney
 50: CurdRice
 51: LemonRice
 52: Chicken65
 53: AndhraChickenFry
 54: CarrotChutney
 55: CoconutChuney
 56: TomatoChutney
 57: AndhraChilliChicken
 58: ChettinadEggCurry
 59: DrumstickCurry
 60: ChickenCurry
 61: MuttonCurry
 62: FishCurry
 63: EggBhurji
 64: FishFry
 65: PepperRice
 66: MilletDosa
 67: MangoPickle
 68: MasalaDosa
 69: EggDosa
 70: MushroomBiriyani
 71: Naan
 72: MushroomCurry
 73: Paniyaram
 74: PotatoKuruma
 75: greenLeafVegetables
 76: Avial
 77: Curd
 78: Raita
